City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Iqaluit,CA,2021-09-28 23:55:24,63.7506,-68.5145,29.93,80,40,4.0
68,Tiksi,RU,2021-09-28 23:55:25,71.6872,128.8694,31.53,92,98,3.06
69,Jamestown,US,2021-09-28 23:55:25,42.097,-79.2353,56.84,67,1,6.91
70,Saint-Pierre,RE,2021-09-28 23:55:25,-21.3393,55.4781,71.24,72,75,5.75
71,Butaritari,KI,2021-09-28 23:55:25,3.0707,172.7902,83.28,74,32,21.43
72,Uchaly,RU,2021-09-28 23:55:26,54.2996,59.4521,24.62,91,40,6.69
73,Caravelas,BR,2021-09-28 23:55:26,-17.7125,-39.2481,71.08,86,2,5.44
74,Karratha,AU,2021-09-28 23:55:26,-20.7377,116.8463,78.3,20,1,7.47
75,Castro,BR,2021-09-28 23:55:27,-24.7911,-50.0119,66.29,78,87,3.15
76,Chardara,KZ,2021-09-28 23:55:27,41.2547,67.9692,64.06,37,100,6.89
77,Hambantota,LK,2021-09-28 23:55:27,6.1241,81.1185,79.14,89,75,9.22
78,Vardo,NO,2021-09-28 23:55:28,70.3705,31.1107,48.9,75,57,11.36
79,Dingle,PH,2021-09-28 23:55:28,10.9995,122.6711,81.01,83,94,3.24
80,Lagoa,PT,2021-09-28 23:55:28,39.05,-27.9833,70.11,88,15,15.1
81,Bachaquero,VE,2021-09-28 23:55:29,9.9694,-71.1494,83.48,71,96,7.14
82,Avarua,CK,2021-09-28 23:52:07,-21.2078,-159.775,78.85,73,90,3.44
83,Mitsamiouli,KM,2021-09-28 23:55:29,-11.3847,43.2844,78.21,77,47,8.86
84,Severo-Kurilsk,RU,2021-09-28 23:55:29,50.6789,156.125,55.26,70,98,10.2
85,Mayumba,GA,2021-09-28 23:55:30,-3.432,10.6554,75.43,89,93,9.48
86,Constitucion,CL,2021-09-28 23:55:30,-35.3333,-72.4167,50.72,73,0,8.97
87,Borogontsy,RU,2021-09-28 23:55:30,62.6683,131.1683,36.68,43,9,5.84
88,Norman Wells,CA,2021-09-28 23:55:31,65.282,-126.8329,30.24,93,90,16.11
89,Barrow,US,2021-09-28 23:55:31,71.2906,-156.7887,29.3,84,100,9.51
90,Lesozavodsk,RU,2021-09-28 23:55:31,45.4794,133.4244,64.44,76,100,7.96
91,Komsomolskiy,UZ,2021-09-28 23:55:31,40.4272,71.7189,62.02,51,21,9.22
92,Nemuro,JP,2021-09-28 23:55:32,43.3236,145.575,61.23,73,94,11.16
93,Georgetown,MY,2021-09-28 23:54:18,5.4112,100.3354,76.98,95,40,1.99
94,Ayan,RU,2021-09-28 23:55:32,56.45,138.1667,50.16,88,100,16.51
95,Nikolskoye,RU,2021-09-28 23:55:33,59.7035,30.7861,47.88,68,100,3.11
96,Alofi,NU,2021-09-28 23:55:33,-19.0595,-169.9187,76.89,94,75,10.36
97,Rumoi,JP,2021-09-28 23:55:33,43.9344,141.6428,64.33,66,86,9.1
98,Winslow,US,2021-09-28 23:55:34,35.0242,-110.6974,73.58,44,1,5.99
99,New Norfolk,AU,2021-09-28 23:55:34,-42.7826,147.0587,51.93,71,100,1.99
100,Buluang,PH,2021-09-28 23:55:34,13.3068,123.3425,83.12,81,69,1.88
101,Lebu,CL,2021-09-28 23:55:35,-37.6167,-73.65,48.45,82,85,6.78
102,Atuona,PF,2021-09-28 23:55:35,-9.8,-139.0333,78.1,71,22,19.98
103,Pitimbu,BR,2021-09-28 23:55:35,-7.4706,-34.8086,75.79,80,10,15.37
104,Chokurdakh,RU,2021-09-28 23:55:36,70.6333,147.9167,25.48,94,96,7.99
105,Cockburn Town,TC,2021-09-28 23:55:36,21.4612,-71.1419,83.26,71,11,8.9
106,Nanortalik,GL,2021-09-28 23:55:36,60.1432,-45.2371,37.54,62,1,5.23
107,Puerto Cabezas,NI,2021-09-28 23:55:37,14.0351,-83.3888,84.16,89,75,4.61
108,Mehamn,NO,2021-09-28 23:55:37,71.0357,27.8492,48.52,76,75,13.35
109,Roald,NO,2021-09-28 23:55:37,62.5833,6.1333,54.34,93,24,4.61
110,Kholm,RU,2021-09-28 23:55:37,59.2667,32.85,38.93,91,69,2.35
111,Baherden,TM,2021-09-28 23:55:38,38.4362,57.4316,64.33,44,0,6.4
112,Fairbanks,US,2021-09-28 23:51:30,64.8378,-147.7164,35.94,63,1,0.0
113,Mount Isa,AU,2021-09-28 23:55:38,-20.7333,139.5,80.37,54,90,8.05
114,Ariquemes,BR,2021-09-28 23:55:39,-9.9133,-63.0408,78.49,69,83,2.57
115,Manitouwadge,CA,2021-09-28 23:55:39,49.1215,-85.8403,54.32,79,15,5.21
116,Port Elizabeth,ZA,2021-09-28 23:53:53,-33.918,25.5701,57.49,77,0,10.36
117,Kununurra,AU,2021-09-28 23:55:39,-15.7667,128.7333,84.18,65,81,9.22
118,Hobart,AU,2021-09-28 23:52:57,-42.8794,147.3294,52.27,73,75,8.05
119,Teya,RU,2021-09-28 23:55:40,60.3778,92.6267,35.55,75,100,2.3
120,Grindavik,IS,2021-09-28 23:55:40,63.8424,-22.4338,39.15,87,75,44.87
121,Tasiilaq,GL,2021-09-28 23:55:40,65.6145,-37.6368,25.32,53,94,4.21
122,Peru,US,2021-09-28 23:55:40,40.7537,-86.0689,72.32,74,3,7.2
123,Nanakuli,US,2021-09-28 23:55:41,21.3906,-158.1547,83.71,69,75,13.8
124,Aracati,BR,2021-09-28 23:51:53,-4.5617,-37.7697,80.26,76,76,18.39
125,Beisfjord,NO,2021-09-28 23:55:41,68.3751,17.5988,50.25,76,63,5.21
