City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Ballina,AU,2021-10-10 21:23:45,-28.8667,153.5667,71.78,78,75,6.91,light rain
60,Kapaa,US,2021-10-10 21:21:31,22.0752,-159.319,82.38,70,40,7.0,light rain
61,Nandaime,NI,2021-10-10 21:24:36,11.757,-86.0529,92.26,67,48,7.56,scattered clouds
62,Kaitangata,NZ,2021-10-10 21:23:10,-46.2817,169.8464,52.77,72,100,3.6,moderate rain
63,Yazd,IR,2021-10-10 21:24:36,31.8972,54.3675,57.31,33,0,4.61,clear sky
64,Nanortalik,GL,2021-10-10 21:23:32,60.1432,-45.2371,36.37,61,6,2.91,clear sky
65,San Fernando,PH,2021-10-10 21:24:36,15.0286,120.6898,81.14,94,94,3.85,overcast clouds
66,Tuatapere,NZ,2021-10-10 21:23:04,-46.1333,167.6833,47.82,96,100,4.83,overcast clouds
67,Mahebourg,MU,2021-10-10 21:24:23,-20.4081,57.7,71.89,94,75,8.05,light rain
68,Wamba,NG,2021-10-10 21:24:37,8.9333,8.6,74.07,92,100,1.21,overcast clouds
69,Thompson,CA,2021-10-10 21:23:39,55.7435,-97.8558,51.96,71,75,3.44,broken clouds
70,Miraflores,MX,2021-10-10 21:24:37,19.2167,-98.8083,80.02,58,77,5.01,broken clouds
71,Torbay,CA,2021-10-10 21:24:14,47.6666,-52.7314,45.28,79,20,16.11,few clouds
72,Maldonado,UY,2021-10-10 21:22:03,-34.6667,-54.9167,63.23,78,100,13.44,overcast clouds
73,Saint George,US,2021-10-10 21:24:01,37.1041,-113.5841,73.87,31,1,4.0,clear sky
74,Narsaq,GL,2021-10-10 21:24:00,60.9167,-46.05,30.42,48,26,1.59,scattered clouds
75,Murray,US,2021-10-10 21:24:38,40.6669,-111.888,63.0,45,1,1.01,clear sky
76,Mozarlandia,BR,2021-10-10 21:24:38,-14.7447,-50.5706,90.18,35,100,3.85,overcast clouds
77,Pevek,RU,2021-10-10 21:23:35,69.7008,170.3133,22.57,92,100,7.49,overcast clouds
78,The Valley,AI,2021-10-10 21:24:39,18.217,-63.0578,84.06,78,75,14.97,broken clouds
79,Savinka,RU,2021-10-10 21:24:39,50.0785,47.0994,46.22,49,0,5.14,clear sky
80,Pangoa,PE,2021-10-10 21:24:39,-12.1167,-73.0,88.12,48,94,2.71,overcast clouds
81,Ronneby,SE,2021-10-10 21:24:39,56.21,15.276,50.5,81,0,6.91,clear sky
82,Jacareacanga,BR,2021-10-10 21:24:40,-6.2222,-57.7528,90.48,49,79,2.3,broken clouds
83,Kununurra,AU,2021-10-10 21:24:30,-15.7667,128.7333,78.78,73,75,8.05,broken clouds
84,Sur,OM,2021-10-10 21:24:40,22.5667,59.5289,82.71,56,0,7.63,clear sky
85,Tasiilaq,GL,2021-10-10 21:23:11,65.6145,-37.6368,32.16,57,1,2.84,clear sky
86,Robertsport,LR,2021-10-10 21:24:40,6.7533,-11.3686,79.97,82,48,9.15,light rain
87,Jamestown,US,2021-10-10 21:19:04,42.097,-79.2353,72.99,73,40,5.99,scattered clouds
88,Qui Nhon,VN,2021-10-10 21:24:41,13.7667,109.2333,77.85,87,100,4.88,light rain
89,Ilulissat,GL,2021-10-10 21:21:54,69.2167,-51.1,32.02,86,40,2.3,scattered clouds
90,Saskylakh,RU,2021-10-10 21:24:41,71.9167,114.0833,17.26,96,100,6.91,overcast clouds
91,Rocha,UY,2021-10-10 21:23:27,-34.4833,-54.3333,59.5,77,100,12.55,overcast clouds
92,Poronaysk,RU,2021-10-10 21:24:42,49.2167,143.1167,47.16,76,3,18.28,clear sky
93,Sampit,ID,2021-10-10 21:24:42,-2.5333,112.95,75.83,97,100,1.77,overcast clouds
94,East London,ZA,2021-10-10 21:23:55,-33.0153,27.9116,59.86,70,17,17.9,few clouds
95,Klaksvik,FO,2021-10-10 21:23:10,62.2266,-6.589,43.72,70,100,18.92,overcast clouds
96,Ostrovnoy,RU,2021-10-10 21:23:50,68.0531,39.5131,42.62,94,100,3.13,overcast clouds
97,Vaini,TO,2021-10-10 21:23:22,-21.2,-175.2,77.16,83,75,4.61,broken clouds
98,Hilo,US,2021-10-10 21:21:34,19.7297,-155.09,80.28,90,90,8.05,moderate rain
99,Taoudenni,ML,2021-10-10 21:24:42,22.6783,-3.9836,93.96,9,68,7.27,broken clouds
100,Anchorage,US,2021-10-10 21:21:36,61.2181,-149.9003,49.35,66,1,5.99,clear sky
101,Kupang,ID,2021-10-10 21:24:43,-10.1667,123.5833,75.43,84,93,4.7,overcast clouds
102,Fortuna,US,2021-10-10 21:23:24,40.5982,-124.1573,70.48,69,86,8.01,overcast clouds
103,Carutapera,BR,2021-10-10 21:24:43,-1.195,-46.02,80.94,76,63,8.12,broken clouds
104,Atuona,PF,2021-10-10 21:23:37,-9.8,-139.0333,78.46,75,47,19.48,scattered clouds
105,Nador,MA,2021-10-10 21:24:44,35.174,-2.9287,70.05,78,0,9.22,clear sky
106,Biak,ID,2021-10-10 21:24:44,-0.9131,122.8766,76.86,86,100,7.09,overcast clouds
107,Tefe,BR,2021-10-10 21:24:44,-3.3542,-64.7114,95.11,55,20,2.64,few clouds
108,Mataura,NZ,2021-10-10 21:20:22,-46.1927,168.8643,47.48,88,100,2.59,moderate rain
109,Georgetown,MY,2021-10-10 21:21:34,5.4112,100.3354,78.89,84,20,1.01,few clouds
110,Dubuque,US,2021-10-10 21:24:45,42.4833,-90.8668,72.57,83,40,14.97,light rain
111,Luderitz,NA,2021-10-10 21:23:07,-26.6481,15.1594,71.13,40,9,6.11,clear sky
112,Tagab,AF,2021-10-10 21:24:45,34.855,69.6492,55.47,31,0,7.49,clear sky
113,Kahului,US,2021-10-10 21:23:32,20.8947,-156.47,83.46,74,20,18.41,light rain
114,Souillac,MU,2021-10-10 21:24:08,-20.5167,57.5167,71.98,94,75,8.05,light rain
115,Iqaluit,CA,2021-10-10 21:24:45,63.7506,-68.5145,37.13,86,40,3.0,scattered clouds
116,Richards Bay,ZA,2021-10-10 21:24:46,-28.783,32.0377,62.42,62,76,5.35,broken clouds
117,Cabo San Lucas,MX,2021-10-10 21:23:16,22.8909,-109.9124,96.19,66,20,4.0,few clouds
118,Provideniya,RU,2021-10-10 21:22:31,64.3833,-173.3,32.11,80,75,6.71,broken clouds
119,Awka,NG,2021-10-10 21:24:46,6.2101,7.0741,73.92,96,88,3.02,overcast clouds
120,Rundu,NA,2021-10-10 21:24:46,-17.9333,19.7667,72.55,10,0,7.58,clear sky
121,Ponta Do Sol,PT,2021-10-10 21:23:20,32.6667,-17.1,73.0,70,15,5.46,few clouds
122,Chokurdakh,RU,2021-10-10 21:23:47,70.6333,147.9167,17.51,89,100,5.79,overcast clouds
123,Oudtshoorn,ZA,2021-10-10 21:24:47,-33.5907,22.2014,50.36,29,13,6.2,few clouds
124,Arraial Do Cabo,BR,2021-10-10 21:20:10,-22.9661,-42.0278,67.86,88,75,17.27,broken clouds
125,Tazovskiy,RU,2021-10-10 21:24:47,67.4667,78.7,28.31,76,43,15.88,scattered clouds
126,Karratha,AU,2021-10-10 21:23:58,-20.7377,116.8463,72.73,36,8,5.57,clear sky
127,Airai,TL,2021-10-10 21:23:23,-8.9266,125.4092,60.84,69,100,1.25,overcast clouds
128,Dembi Dolo,ET,2021-10-10 21:24:48,8.5333,34.8,59.14,89,97,4.41,overcast clouds
129,Poya,NC,2021-10-10 21:24:48,-21.35,165.15,74.64,59,7,5.77,clear sky
130,Mayo,US,2021-10-10 21:24:48,38.8876,-76.5119,73.44,85,90,8.99,overcast clouds
131,Akureyri,IS,2021-10-10 21:24:11,65.6835,-18.0878,37.33,87,75,8.05,broken clouds
132,Buraydah,SA,2021-10-10 21:24:49,26.326,43.975,81.05,16,0,6.02,clear sky
133,Stepnogorsk,KZ,2021-10-10 21:24:49,52.3544,71.8869,36.36,78,100,8.7,overcast clouds
134,Lagoa,PT,2021-10-10 21:21:50,39.05,-27.9833,71.13,85,100,22.84,overcast clouds
135,Kudahuvadhoo,MV,2021-10-10 21:24:49,2.6708,72.8944,83.08,74,100,15.52,overcast clouds
136,Longyearbyen,SJ,2021-10-10 21:23:47,78.2186,15.6401,26.44,80,75,4.61,broken clouds
137,Dargaville,NZ,2021-10-10 21:24:50,-35.9333,173.8833,59.22,64,37,8.05,scattered clouds
138,Wukari,NG,2021-10-10 21:24:50,7.85,9.7833,75.87,87,85,5.68,overcast clouds
139,Marfino,RU,2021-10-10 21:24:50,55.7028,37.3822,44.94,79,0,2.24,clear sky
140,Glenluce,GB,2021-10-10 21:24:51,54.8798,-4.8084,51.3,74,100,14.52,overcast clouds
141,Leiyang,CN,2021-10-10 21:24:51,26.4024,112.8591,56.43,93,100,7.0,overcast clouds
142,Xushan,CN,2021-10-10 21:24:51,30.1764,121.2457,75.96,94,69,11.39,broken clouds
143,Leningradskiy,RU,2021-10-10 21:24:52,69.3833,178.4167,21.0,89,100,4.23,overcast clouds
